	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description
6097	ENCFF556PAF-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAO/summary/coverage-.w5	768	384	0.3	sum_sqrt	6096	RNA:fibroblast of lung female adult (83 years) and male adult (23 years)
6098	ENCFF618FQK+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAP/summary/coverage+.w5	768	384	0.3	sum_sqrt	6099	RNA:lung microvascular endothelial cell female adult (55 years) and male adult (63 years)
6099	ENCFF618FQK-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAP/summary/coverage-.w5	768	384	0.3	sum_sqrt	6098	RNA:lung microvascular endothelial cell female adult (55 years) and male adult (63 years)
6100	ENCFF818OXF+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAQ/summary/coverage+.w5	768	384	0.3	sum_sqrt	6101	RNA:renal cortical epithelial cell female adult (69 years) and male adult (84 years)
6101	ENCFF818OXF-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAQ/summary/coverage-.w5	768	384	0.3	sum_sqrt	6100	RNA:renal cortical epithelial cell female adult (69 years) and male adult (84 years)
6102	ENCFF520NFI+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAR/summary/coverage+.w5	768	384	0.3	sum_sqrt	6103	RNA:tracheal epithelial cell male adult (21 years) and male adult (68 years)
6103	ENCFF520NFI-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAR/summary/coverage-.w5	768	384	0.3	sum_sqrt	6102	RNA:tracheal epithelial cell male adult (21 years) and male adult (68 years)
6104	ENCFF749ZJH+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAS/summary/coverage+.w5	768	384	0.3	sum_sqrt	6105	RNA:smooth muscle cell of trachea male adult (28 years) and male adult (56 years)
6105	ENCFF749ZJH-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAS/summary/coverage-.w5	768	384	0.3	sum_sqrt	6104	RNA:smooth muscle cell of trachea male adult (28 years) and male adult (56 years)
6106	ENCFF572FWT+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAT/summary/coverage+.w5	768	384	0.3	sum_sqrt	6107	RNA:epithelial cell of umbilical artery female newborn and male newborn
6107	ENCFF572FWT-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAT/summary/coverage-.w5	768	384	0.3	sum_sqrt	6106	RNA:epithelial cell of umbilical artery female newborn and male newborn
6108	ENCFF096HEZ+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAU/summary/coverage+.w5	768	384	0.3	sum_sqrt	6109	RNA:smooth muscle cell of the umbilical artery female newborn and male newborn
6109	ENCFF096HEZ-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAU/summary/coverage-.w5	768	384	0.3	sum_sqrt	6108	RNA:smooth muscle cell of the umbilical artery female newborn and male newborn
6110	ENCFF360EXL+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAV/summary/coverage+.w5	768	384	0.3	sum_sqrt	6111	RNA:uterine smooth muscle cell female adult (48 years) and female adult (50 years)
6111	ENCFF360EXL-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAV/summary/coverage-.w5	768	384	0.3	sum_sqrt	6110	RNA:uterine smooth muscle cell female adult (48 years) and female adult (50 years)
6112	ENCFF470BSF+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEC/summary/coverage+.w5	768	384	0.3	sum_sqrt	6113	RNA:GM12878
6113	ENCFF470BSF-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEC/summary/coverage-.w5	768	384	0.3	sum_sqrt	6112	RNA:GM12878
6114	ENCFF617ZDV+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AED/summary/coverage+.w5	768	384	0.3	sum_sqrt	6115	RNA:GM12878
6115	ENCFF617ZDV-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AED/summary/coverage-.w5	768	384	0.3	sum_sqrt	6114	RNA:GM12878
6116	ENCFF993POP+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEE/summary/coverage+.w5	768	384	0.3	sum_sqrt	6117	RNA:GM12878
6117	ENCFF993POP-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEE/summary/coverage-.w5	768	384	0.3	sum_sqrt	6116	RNA:GM12878
6118	ENCFF678ITA+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEF/summary/coverage+.w5	768	384	0.3	sum_sqrt	6119	RNA:GM12878
6119	ENCFF678ITA-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEF/summary/coverage-.w5	768	384	0.3	sum_sqrt	6118	RNA:GM12878
6120	ENCFF812WIL	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEG/summary/coverage.w5	768	384	0.3	sum_sqrt	6120	RNA:GM12878
6121	ENCFF142WGV	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEH/summary/coverage.w5	768	384	0.3	sum_sqrt	6121	RNA:GM12878
6122	ENCFF980ZHM+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEL/summary/coverage+.w5	768	384	0.3	sum_sqrt	6123	RNA:K562
6123	ENCFF980ZHM-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEL/summary/coverage-.w5	768	384	0.3	sum_sqrt	6122	RNA:K562
6124	ENCFF132DVY+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEM/summary/coverage+.w5	768	384	0.3	sum_sqrt	6125	RNA:K562
6125	ENCFF132DVY-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEM/summary/coverage-.w5	768	384	0.3	sum_sqrt	6124	RNA:K562
6126	ENCFF919EXM+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEN/summary/coverage+.w5	768	384	0.3	sum_sqrt	6127	RNA:K562
6127	ENCFF919EXM-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEN/summary/coverage-.w5	768	384	0.3	sum_sqrt	6126	RNA:K562
6128	ENCFF552CYS+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEO/summary/coverage+.w5	768	384	0.3	sum_sqrt	6129	RNA:K562
6129	ENCFF552CYS-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEO/summary/coverage-.w5	768	384	0.3	sum_sqrt	6128	RNA:K562
6130	ENCFF991BRF	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEP/summary/coverage.w5	768	384	0.3	sum_sqrt	6130	RNA:K562
6131	ENCFF769VLM	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEQ/summary/coverage.w5	768	384	0.3	sum_sqrt	6131	RNA:K562
6132	ENCFF945UHI+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEU/summary/coverage+.w5	768	384	0.3	sum_sqrt	6133	RNA:liver tissue female child (6 years) and with nonobstructive coronary artery disease; liver tissue male adult (32 years)
6133	ENCFF945UHI-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEU/summary/coverage-.w5	768	384	0.3	sum_sqrt	6132	RNA:liver tissue female child (6 years) and with nonobstructive coronary artery disease; liver tissue male adult (32 years)
6134	ENCFF775XPO+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEV/summary/coverage+.w5	768	384	0.3	sum_sqrt	6135	RNA:urinary bladder tissue female embryo (20 weeks) and female embryo (24 weeks)
6135	ENCFF775XPO-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEV/summary/coverage-.w5	768	384	0.3	sum_sqrt	6134	RNA:urinary bladder tissue female embryo (20 weeks) and female embryo (24 weeks)
6136	ENCFF638TDD+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEW/summary/coverage+.w5	768	384	0.3	sum_sqrt	6137	RNA:cerebellum tissue female embryo (19 weeks) and female embryo (37 weeks)
6137	ENCFF638TDD-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEW/summary/coverage-.w5	768	384	0.3	sum_sqrt	6136	RNA:cerebellum tissue female embryo (19 weeks) and female embryo (37 weeks)
6138	ENCFF355IUO+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEX/summary/coverage+.w5	768	384	0.3	sum_sqrt	6139	RNA:diencephalon tissue female embryo (20 weeks) and male embryo (22 weeks)
6139	ENCFF355IUO-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEX/summary/coverage-.w5	768	384	0.3	sum_sqrt	6138	RNA:diencephalon tissue female embryo (20 weeks) and male embryo (22 weeks)
6140	ENCFF217HQN+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEY/summary/coverage+.w5	768	384	0.3	sum_sqrt	6141	RNA:frontal cortex tissue female embryo (20 weeks) and male embryo (22 weeks)
6141	ENCFF217HQN-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEY/summary/coverage-.w5	768	384	0.3	sum_sqrt	6140	RNA:frontal cortex tissue female embryo (20 weeks) and male embryo (22 weeks)
6142	ENCFF454SXU+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEZ/summary/coverage+.w5	768	384	0.3	sum_sqrt	6143	RNA:heart tissue female embryo (19 weeks) and female embryo (28 weeks)
6143	ENCFF454SXU-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AEZ/summary/coverage-.w5	768	384	0.3	sum_sqrt	6142	RNA:heart tissue female embryo (19 weeks) and female embryo (28 weeks)
6144	ENCFF367PUX+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFA/summary/coverage+.w5	768	384	0.3	sum_sqrt	6145	RNA:metanephros tissue female embryo (20 weeks) and female embryo (24 weeks)
6145	ENCFF367PUX-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFA/summary/coverage-.w5	768	384	0.3	sum_sqrt	6144	RNA:metanephros tissue female embryo (20 weeks) and female embryo (24 weeks)
6146	ENCFF630VID+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFB/summary/coverage+.w5	768	384	0.3	sum_sqrt	6147	RNA:liver tissue female embryo (20 weeks) and male embryo (22 weeks)
6147	ENCFF630VID-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFB/summary/coverage-.w5	768	384	0.3	sum_sqrt	6146	RNA:liver tissue female embryo (20 weeks) and male embryo (22 weeks)
6148	ENCFF892OBT+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFC/summary/coverage+.w5	768	384	0.3	sum_sqrt	6149	RNA:lung tissue female embryo (20 weeks) and female embryo (24 weeks)
6149	ENCFF892OBT-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFC/summary/coverage-.w5	768	384	0.3	sum_sqrt	6148	RNA:lung tissue female embryo (20 weeks) and female embryo (24 weeks)
6150	ENCFF537TSF+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFD/summary/coverage+.w5	768	384	0.3	sum_sqrt	6151	RNA:occipital lobe tissue female embryo (20 weeks) and male embryo (22 weeks)
6151	ENCFF537TSF-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFD/summary/coverage-.w5	768	384	0.3	sum_sqrt	6150	RNA:occipital lobe tissue female embryo (20 weeks) and male embryo (22 weeks)
6152	ENCFF470OAY+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFE/summary/coverage+.w5	768	384	0.3	sum_sqrt	6153	RNA:parietal lobe tissue female embryo (24 weeks) and male embryo (22 weeks)
6153	ENCFF470OAY-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFE/summary/coverage-.w5	768	384	0.3	sum_sqrt	6152	RNA:parietal lobe tissue female embryo (24 weeks) and male embryo (22 weeks)
6154	ENCFF285OHV+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFF/summary/coverage+.w5	768	384	0.3	sum_sqrt	6155	RNA:skeletal muscle tissue tissue female embryo (19 weeks) and male embryo (22 weeks)
6155	ENCFF285OHV-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFF/summary/coverage-.w5	768	384	0.3	sum_sqrt	6154	RNA:skeletal muscle tissue tissue female embryo (19 weeks) and male embryo (22 weeks)
6156	ENCFF198TLM+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFG/summary/coverage+.w5	768	384	0.3	sum_sqrt	6157	RNA:skin of body tissue female embryo (24 weeks) and male embryo (22 weeks)
6157	ENCFF198TLM-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFG/summary/coverage-.w5	768	384	0.3	sum_sqrt	6156	RNA:skin of body tissue female embryo (24 weeks) and male embryo (22 weeks)
6158	ENCFF768YRQ+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFH/summary/coverage+.w5	768	384	0.3	sum_sqrt	6159	RNA:spinal cord tissue female embryo (24 weeks) and male embryo (22 weeks)
6159	ENCFF768YRQ-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFH/summary/coverage-.w5	768	384	0.3	sum_sqrt	6158	RNA:spinal cord tissue female embryo (24 weeks) and male embryo (22 weeks)
6160	ENCFF718MVN+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFI/summary/coverage+.w5	768	384	0.3	sum_sqrt	6161	RNA:stomach tissue female embryo (40 weeks) and male embryo (36 weeks)
6161	ENCFF718MVN-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFI/summary/coverage-.w5	768	384	0.3	sum_sqrt	6160	RNA:stomach tissue female embryo (40 weeks) and male embryo (36 weeks)
6162	ENCFF709SZT+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFJ/summary/coverage+.w5	768	384	0.3	sum_sqrt	6163	RNA:temporal lobe tissue female embryo (20 weeks) and female embryo (24 weeks)
6163	ENCFF709SZT-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFJ/summary/coverage-.w5	768	384	0.3	sum_sqrt	6162	RNA:temporal lobe tissue female embryo (20 weeks) and female embryo (24 weeks)
6164	ENCFF844XCX+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFK/summary/coverage+.w5	768	384	0.3	sum_sqrt	6165	RNA:thyroid gland tissue female embryo (37 weeks) and female embryo (40 weeks)
6165	ENCFF844XCX-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFK/summary/coverage-.w5	768	384	0.3	sum_sqrt	6164	RNA:thyroid gland tissue female embryo (37 weeks) and female embryo (40 weeks)
6166	ENCFF175KXC+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFL/summary/coverage+.w5	768	384	0.3	sum_sqrt	6167	RNA:tongue tissue female embryo (20 weeks) and female embryo (24 weeks)
6167	ENCFF175KXC-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFL/summary/coverage-.w5	768	384	0.3	sum_sqrt	6166	RNA:tongue tissue female embryo (20 weeks) and female embryo (24 weeks)
6168	ENCFF604YPC+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFM/summary/coverage+.w5	768	384	0.3	sum_sqrt	6169	RNA:umbilical cord tissue male embryo (20 weeks) and male embryo (31 weeks)
6169	ENCFF604YPC-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFM/summary/coverage-.w5	768	384	0.3	sum_sqrt	6168	RNA:umbilical cord tissue male embryo (20 weeks) and male embryo (31 weeks)
6170	ENCFF592ZIP+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFN/summary/coverage+.w5	768	384	0.3	sum_sqrt	6171	RNA:uterus tissue female embryo (24 weeks) and female embryo (28 weeks)
6171	ENCFF592ZIP-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFN/summary/coverage-.w5	768	384	0.3	sum_sqrt	6170	RNA:uterus tissue female embryo (24 weeks) and female embryo (28 weeks)
6172	ENCFF676EVQ+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFO/summary/coverage+.w5	768	384	0.3	sum_sqrt	6173	RNA:camera-type eye tissue female embryo (20 weeks) and female embryo (24 weeks)
6173	ENCFF676EVQ-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AFO/summary/coverage-.w5	768	384	0.3	sum_sqrt	6172	RNA:camera-type eye tissue female embryo (20 weeks) and female embryo (24 weeks)
6174	ENCFF018EZY+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AHH/summary/coverage+.w5	768	384	0.3	sum_sqrt	6175	RNA:heart tissue male adult (34 years)
6175	ENCFF018EZY-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AHH/summary/coverage-.w5	768	384	0.3	sum_sqrt	6174	RNA:heart tissue male adult (34 years)
6176	ENCFF549SVZ	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BXX/summary/coverage.w5	768	384	0.3	sum_sqrt	6176	RNA:Jurkat, Clone E6-1
6177	ENCFF263CML	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BXY/summary/coverage.w5	768	384	0.3	sum_sqrt	6177	RNA:A549 treated with 0.1 nM dexamethasone for 1 hour
6178	ENCFF882JUS	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BXZ/summary/coverage.w5	768	384	0.3	sum_sqrt	6178	RNA:Ishikawa treated with 100 nM bisphenol A for 4 hours
6179	ENCFF188RIO	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYA/summary/coverage.w5	768	384	0.3	sum_sqrt	6179	RNA:Ishikawa treated with 0.02% dimethyl sulfoxide for 4 hours
6180	ENCFF165CZI	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYB/summary/coverage.w5	768	384	0.3	sum_sqrt	6180	RNA:Ishikawa treated with 10 nM estradiol for 4 hours
6181	ENCFF755HLM	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYC/summary/coverage.w5	768	384	0.3	sum_sqrt	6181	RNA:Ishikawa treated with 100 nM genistein for 4 hours
6182	ENCFF353TRR	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYD/summary/coverage.w5	768	384	0.3	sum_sqrt	6182	RNA:T47D treated with 100 nM bisphenol A for 4 hours
6183	ENCFF287DGM	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYE/summary/coverage.w5	768	384	0.3	sum_sqrt	6183	RNA:T47D treated with 0.02% dimethyl sulfoxide for 4 hours
6184	ENCFF660UBK	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYF/summary/coverage.w5	768	384	0.3	sum_sqrt	6184	RNA:T47D treated with 10 nM estradiol for 4 hours
6185	ENCFF353MIF	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYG/summary/coverage.w5	768	384	0.3	sum_sqrt	6185	RNA:T47D treated with 100 nM genistein for 4 hours
6186	ENCFF808QXI	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYH/summary/coverage.w5	768	384	0.3	sum_sqrt	6186	RNA:A549 treated with 1 nM dexamethasone for 1 hour
6187	ENCFF181YIA	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYI/summary/coverage.w5	768	384	0.3	sum_sqrt	6187	RNA:A549 treated with 0.5 nM dexamethasone for 1 hour
6188	ENCFF409JEW	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYJ/summary/coverage.w5	768	384	0.3	sum_sqrt	6188	RNA:A549 treated with 5 nM dexamethasone for 1 hour
6189	ENCFF949LLY	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYK/summary/coverage.w5	768	384	0.3	sum_sqrt	6189	RNA:BE2C
6190	ENCFF038WPL	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYL/summary/coverage.w5	768	384	0.3	sum_sqrt	6190	RNA:SK-N-SH
6191	ENCFF142KMX	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYM/summary/coverage.w5	768	384	0.3	sum_sqrt	6191	RNA:Panc1
6192	ENCFF378HTE	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYN/summary/coverage.w5	768	384	0.3	sum_sqrt	6192	RNA:PFSK-1
6193	ENCFF450BGT	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BYO/summary/coverage.w5	768	384	0.3	sum_sqrt	6193	RNA:U-87 MG
6194	ENCFF222BDI+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BZU/summary/coverage+.w5	768	384	0.3	sum_sqrt	6195	RNA:H1
6195	ENCFF222BDI-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000BZU/summary/coverage-.w5	768	384	0.3	sum_sqrt	6194	RNA:H1
6196	ENCFF516KYO+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000COK/summary/coverage+.w5	768	384	0.3	sum_sqrt	6197	RNA:K562 cytosolic fraction
6197	ENCFF516KYO-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000COK/summary/coverage-.w5	768	384	0.3	sum_sqrt	6196	RNA:K562 cytosolic fraction
6198	ENCFF575YME+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000CON/summary/coverage+.w5	768	384	0.3	sum_sqrt	6199	RNA:A549
6199	ENCFF575YME-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000CON/summary/coverage-.w5	768	384	0.3	sum_sqrt	6198	RNA:A549
6200	ENCFF735EPI+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000COO/summary/coverage+.w5	768	384	0.3	sum_sqrt	6201	RNA:AG04450
6201	ENCFF735EPI-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000COO/summary/coverage-.w5	768	384	0.3	sum_sqrt	6200	RNA:AG04450
