	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description
7543	GTEX-1GN1W-1926-SM-7P8TH.1	/home/drk/tillage/datasets/human/rna/recount3/breast/GTEX-1GN1W-1926-SM-7P8TH.1/coverage.w5	768	384	0.01	sum_sqrt	7543	RNA:breast
7544	GTEX-ZYT6-0126-SM-5E45J.1	/home/drk/tillage/datasets/human/rna/recount3/breast/GTEX-ZYT6-0126-SM-5E45J.1/coverage.w5	768	384	0.01	sum_sqrt	7544	RNA:breast
7545	GTEX-PLZ4-2226-SM-EZ6KS.1	/home/drk/tillage/datasets/human/rna/recount3/cervix_uteri/GTEX-PLZ4-2226-SM-EZ6KS.1/coverage.w5	768	384	0.01	sum_sqrt	7545	RNA:cervix_uteri
7546	GTEX-T6MO-1426-SM-4DM73.1	/home/drk/tillage/datasets/human/rna/recount3/cervix_uteri/GTEX-T6MO-1426-SM-4DM73.1/coverage.w5	768	384	0.01	sum_sqrt	7546	RNA:cervix_uteri
7547	GTEX-U3ZN-1626-SM-4DXTZ.1	/home/drk/tillage/datasets/human/rna/recount3/cervix_uteri/GTEX-U3ZN-1626-SM-4DXTZ.1/coverage.w5	768	384	0.01	sum_sqrt	7547	RNA:cervix_uteri
7548	GTEX-11P81-1426-SM-5P9JN.1	/home/drk/tillage/datasets/human/rna/recount3/colon/GTEX-11P81-1426-SM-5P9JN.1/coverage.w5	768	384	0.01	sum_sqrt	7548	RNA:colon
7549	GTEX-13W3W-2226-SM-5LU4M.1	/home/drk/tillage/datasets/human/rna/recount3/colon/GTEX-13W3W-2226-SM-5LU4M.1/coverage.w5	768	384	0.01	sum_sqrt	7549	RNA:colon
7550	GTEX-ZAB4-2226-SM-5HL97.1	/home/drk/tillage/datasets/human/rna/recount3/colon/GTEX-ZAB4-2226-SM-5HL97.1/coverage.w5	768	384	0.01	sum_sqrt	7550	RNA:colon
7551	GTEX-14DAR-0726-SM-5RQIA.1	/home/drk/tillage/datasets/human/rna/recount3/esophagus/GTEX-14DAR-0726-SM-5RQIA.1/coverage.w5	768	384	0.01	sum_sqrt	7551	RNA:esophagus
7552	GTEX-1RAZR-1426-SM-EVR4M.1	/home/drk/tillage/datasets/human/rna/recount3/esophagus/GTEX-1RAZR-1426-SM-EVR4M.1/coverage.w5	768	384	0.01	sum_sqrt	7552	RNA:esophagus
7553	GTEX-ZDTT-1326-SM-4WKFH.1	/home/drk/tillage/datasets/human/rna/recount3/esophagus/GTEX-ZDTT-1326-SM-4WKFH.1/coverage.w5	768	384	0.01	sum_sqrt	7553	RNA:esophagus
7554	GTEX-PLZ4-2326-SM-EYYV5.1	/home/drk/tillage/datasets/human/rna/recount3/fallopian_tube/GTEX-PLZ4-2326-SM-EYYV5.1/coverage.w5	768	384	0.01	sum_sqrt	7554	RNA:fallopian_tube
7555	GTEX-S32W-1326-SM-4AD5Q.1	/home/drk/tillage/datasets/human/rna/recount3/fallopian_tube/GTEX-S32W-1326-SM-4AD5Q.1/coverage.w5	768	384	0.01	sum_sqrt	7555	RNA:fallopian_tube
7556	GTEX-T6MO-1026-SM-4DM72.1	/home/drk/tillage/datasets/human/rna/recount3/fallopian_tube/GTEX-T6MO-1026-SM-4DM72.1/coverage.w5	768	384	0.01	sum_sqrt	7556	RNA:fallopian_tube
7557	GTEX-11LCK-0826-SM-5PNYD.1	/home/drk/tillage/datasets/human/rna/recount3/heart/GTEX-11LCK-0826-SM-5PNYD.1/coverage.w5	768	384	0.01	sum_sqrt	7557	RNA:heart
7558	GTEX-18465-0926-SM-731AY.1	/home/drk/tillage/datasets/human/rna/recount3/heart/GTEX-18465-0926-SM-731AY.1/coverage.w5	768	384	0.01	sum_sqrt	7558	RNA:heart
7559	GTEX-1MUQO-1226-SM-E9TJK.1	/home/drk/tillage/datasets/human/rna/recount3/heart/GTEX-1MUQO-1226-SM-E9TJK.1/coverage.w5	768	384	0.01	sum_sqrt	7559	RNA:heart
7560	GTEX-13112-2126-SM-5GCO4.1	/home/drk/tillage/datasets/human/rna/recount3/kidney/GTEX-13112-2126-SM-5GCO4.1/coverage.w5	768	384	0.01	sum_sqrt	7560	RNA:kidney
7561	GTEX-17F96-1926-SM-7MGWY.1	/home/drk/tillage/datasets/human/rna/recount3/kidney/GTEX-17F96-1926-SM-7MGWY.1/coverage.w5	768	384	0.01	sum_sqrt	7561	RNA:kidney
7562	GTEX-ZVZP-0926-SM-5GIDB.1	/home/drk/tillage/datasets/human/rna/recount3/kidney/GTEX-ZVZP-0926-SM-5GIDB.1/coverage.w5	768	384	0.01	sum_sqrt	7562	RNA:kidney
7563	GTEX-11EQ9-0526-SM-5A5JZ.1	/home/drk/tillage/datasets/human/rna/recount3/liver/GTEX-11EQ9-0526-SM-5A5JZ.1/coverage.w5	768	384	0.01	sum_sqrt	7563	RNA:liver
7564	GTEX-1QP66-0226-SM-DPRXS.1	/home/drk/tillage/datasets/human/rna/recount3/liver/GTEX-1QP66-0226-SM-DPRXS.1/coverage.w5	768	384	0.01	sum_sqrt	7564	RNA:liver
7565	GTEX-ZYT6-0626-SM-5E45V.1	/home/drk/tillage/datasets/human/rna/recount3/liver/GTEX-ZYT6-0626-SM-5E45V.1/coverage.w5	768	384	0.01	sum_sqrt	7565	RNA:liver
7566	GTEX-1399S-1726-SM-5L3DI.1	/home/drk/tillage/datasets/human/rna/recount3/lung/GTEX-1399S-1726-SM-5L3DI.1/coverage.w5	768	384	0.01	sum_sqrt	7566	RNA:lung
7567	GTEX-14AS3-0926-SM-5TDD6.1	/home/drk/tillage/datasets/human/rna/recount3/lung/GTEX-14AS3-0926-SM-5TDD6.1/coverage.w5	768	384	0.01	sum_sqrt	7567	RNA:lung
7568	GTEX-14JG1-0926-SM-5YY8W.1	/home/drk/tillage/datasets/human/rna/recount3/lung/GTEX-14JG1-0926-SM-5YY8W.1/coverage.w5	768	384	0.01	sum_sqrt	7568	RNA:lung
7569	GTEX-13QJ3-0726-SM-5SI68.1	/home/drk/tillage/datasets/human/rna/recount3/muscle/GTEX-13QJ3-0726-SM-5SI68.1/coverage.w5	768	384	0.01	sum_sqrt	7569	RNA:muscle
7570	GTEX-14PJ4-2426-SM-6EU1U.1	/home/drk/tillage/datasets/human/rna/recount3/muscle/GTEX-14PJ4-2426-SM-6EU1U.1/coverage.w5	768	384	0.01	sum_sqrt	7570	RNA:muscle
7571	GTEX-1H1CY-2726-SM-9MQLR.1	/home/drk/tillage/datasets/human/rna/recount3/muscle/GTEX-1H1CY-2726-SM-9MQLR.1/coverage.w5	768	384	0.01	sum_sqrt	7571	RNA:muscle
7572	GTEX-14PJ6-2426-SM-6ETZS.1	/home/drk/tillage/datasets/human/rna/recount3/nerve/GTEX-14PJ6-2426-SM-6ETZS.1/coverage.w5	768	384	0.01	sum_sqrt	7572	RNA:nerve
7573	GTEX-1HKZK-0626-SM-ADEHP.1	/home/drk/tillage/datasets/human/rna/recount3/nerve/GTEX-1HKZK-0626-SM-ADEHP.1/coverage.w5	768	384	0.01	sum_sqrt	7573	RNA:nerve
7574	GTEX-11VI4-1026-SM-5EQM1.1	/home/drk/tillage/datasets/human/rna/recount3/ovary/GTEX-11VI4-1026-SM-5EQM1.1/coverage.w5	768	384	0.01	sum_sqrt	7574	RNA:ovary
7575	GTEX-1269C-1826-SM-5N9E1.1	/home/drk/tillage/datasets/human/rna/recount3/ovary/GTEX-1269C-1826-SM-5N9E1.1/coverage.w5	768	384	0.01	sum_sqrt	7575	RNA:ovary
7576	GTEX-1399S-2126-SM-5J2MH.1	/home/drk/tillage/datasets/human/rna/recount3/ovary/GTEX-1399S-2126-SM-5J2MH.1/coverage.w5	768	384	0.01	sum_sqrt	7576	RNA:ovary
7577	GTEX-11I78-0626-SM-5A5LZ.1	/home/drk/tillage/datasets/human/rna/recount3/pancreas/GTEX-11I78-0626-SM-5A5LZ.1/coverage.w5	768	384	0.01	sum_sqrt	7577	RNA:pancreas
7578	GTEX-14PJ6-0926-SM-686ZA.1	/home/drk/tillage/datasets/human/rna/recount3/pancreas/GTEX-14PJ6-0926-SM-686ZA.1/coverage.w5	768	384	0.01	sum_sqrt	7578	RNA:pancreas
7579	GTEX-1HKZK-1126-SM-9WG82.1	/home/drk/tillage/datasets/human/rna/recount3/pancreas/GTEX-1HKZK-1126-SM-9WG82.1/coverage.w5	768	384	0.01	sum_sqrt	7579	RNA:pancreas
7580	GTEX-12WSC-3126-SM-5GCNB.1	/home/drk/tillage/datasets/human/rna/recount3/pituitary/GTEX-12WSC-3126-SM-5GCNB.1/coverage.w5	768	384	0.01	sum_sqrt	7580	RNA:pituitary
7581	GTEX-145LS-3226-SM-5TDCA.1	/home/drk/tillage/datasets/human/rna/recount3/pituitary/GTEX-145LS-3226-SM-5TDCA.1/coverage.w5	768	384	0.01	sum_sqrt	7581	RNA:pituitary
7582	GTEX-1I1GR-3026-SM-ARU7C.1	/home/drk/tillage/datasets/human/rna/recount3/pituitary/GTEX-1I1GR-3026-SM-ARU7C.1/coverage.w5	768	384	0.01	sum_sqrt	7582	RNA:pituitary
7583	GTEX-11P82-1126-SM-5BC5K.1	/home/drk/tillage/datasets/human/rna/recount3/prostate/GTEX-11P82-1126-SM-5BC5K.1/coverage.w5	768	384	0.01	sum_sqrt	7583	RNA:prostate
7584	GTEX-1KXAM-1126-SM-E9TJU.1	/home/drk/tillage/datasets/human/rna/recount3/prostate/GTEX-1KXAM-1126-SM-E9TJU.1/coverage.w5	768	384	0.01	sum_sqrt	7584	RNA:prostate
7585	GTEX-P4PQ-2026-SM-E9U4E.1	/home/drk/tillage/datasets/human/rna/recount3/prostate/GTEX-P4PQ-2026-SM-E9U4E.1/coverage.w5	768	384	0.01	sum_sqrt	7585	RNA:prostate
7586	GTEX-1J8QM-1826-SM-A96TA.1	/home/drk/tillage/datasets/human/rna/recount3/salivary_gland/GTEX-1J8QM-1826-SM-A96TA.1/coverage.w5	768	384	0.01	sum_sqrt	7586	RNA:salivary_gland
7587	GTEX-YB5K-1726-SM-5IFIZ.1	/home/drk/tillage/datasets/human/rna/recount3/salivary_gland/GTEX-YB5K-1726-SM-5IFIZ.1/coverage.w5	768	384	0.01	sum_sqrt	7587	RNA:salivary_gland
7588	GTEX-ZLWG-2026-SM-DO11F.1	/home/drk/tillage/datasets/human/rna/recount3/salivary_gland/GTEX-ZLWG-2026-SM-DO11F.1/coverage.w5	768	384	0.01	sum_sqrt	7588	RNA:salivary_gland
7589	GTEX-133LE-2326-SM-5K7W3.1	/home/drk/tillage/datasets/human/rna/recount3/skin/GTEX-133LE-2326-SM-5K7W3.1/coverage.w5	768	384	0.01	sum_sqrt	7589	RNA:skin
7590	GTEX-139TS-0008-SM-62LDG.1	/home/drk/tillage/datasets/human/rna/recount3/skin/GTEX-139TS-0008-SM-62LDG.1/coverage.w5	768	384	0.01	sum_sqrt	7590	RNA:skin
7591	GTEX-13U4I-0126-SM-5LU38.1	/home/drk/tillage/datasets/human/rna/recount3/skin/GTEX-13U4I-0126-SM-5LU38.1/coverage.w5	768	384	0.01	sum_sqrt	7591	RNA:skin
7592	GTEX-14PJN-0826-SM-686ZL.1	/home/drk/tillage/datasets/human/rna/recount3/small_intestine/GTEX-14PJN-0826-SM-686ZL.1/coverage.w5	768	384	0.01	sum_sqrt	7592	RNA:small_intestine
7593	GTEX-1PDJ9-1826-SM-E9U66.1	/home/drk/tillage/datasets/human/rna/recount3/small_intestine/GTEX-1PDJ9-1826-SM-E9U66.1/coverage.w5	768	384	0.01	sum_sqrt	7593	RNA:small_intestine
7594	GTEX-ZF2S-1726-SM-57WFT.1	/home/drk/tillage/datasets/human/rna/recount3/small_intestine/GTEX-ZF2S-1726-SM-57WFT.1/coverage.w5	768	384	0.01	sum_sqrt	7594	RNA:small_intestine
7595	GTEX-14PJ4-0526-SM-6871G.1	/home/drk/tillage/datasets/human/rna/recount3/spleen/GTEX-14PJ4-0526-SM-6871G.1/coverage.w5	768	384	0.01	sum_sqrt	7595	RNA:spleen
7596	GTEX-15DYW-1426-SM-6LPIW.1	/home/drk/tillage/datasets/human/rna/recount3/spleen/GTEX-15DYW-1426-SM-6LPIW.1/coverage.w5	768	384	0.01	sum_sqrt	7596	RNA:spleen
7597	GTEX-1F75I-0226-SM-7MKHQ.1	/home/drk/tillage/datasets/human/rna/recount3/spleen/GTEX-1F75I-0226-SM-7MKHQ.1/coverage.w5	768	384	0.01	sum_sqrt	7597	RNA:spleen
7598	GTEX-1399U-1626-SM-5P9J3.1	/home/drk/tillage/datasets/human/rna/recount3/stomach/GTEX-1399U-1626-SM-5P9J3.1/coverage.w5	768	384	0.01	sum_sqrt	7598	RNA:stomach
7599	GTEX-14PKV-1826-SM-69LO9.1	/home/drk/tillage/datasets/human/rna/recount3/stomach/GTEX-14PKV-1826-SM-69LO9.1/coverage.w5	768	384	0.01	sum_sqrt	7599	RNA:stomach
7600	GTEX-1IDJU-1526-SM-CNNR3.1	/home/drk/tillage/datasets/human/rna/recount3/stomach/GTEX-1IDJU-1526-SM-CNNR3.1/coverage.w5	768	384	0.01	sum_sqrt	7600	RNA:stomach
7601	GTEX-1KD5A-1826-SM-DHXJI.1	/home/drk/tillage/datasets/human/rna/recount3/testis/GTEX-1KD5A-1826-SM-DHXJI.1/coverage.w5	768	384	0.01	sum_sqrt	7601	RNA:testis
7602	GTEX-1MA7X-1526-SM-DHXJF.1	/home/drk/tillage/datasets/human/rna/recount3/testis/GTEX-1MA7X-1526-SM-DHXJF.1/coverage.w5	768	384	0.01	sum_sqrt	7602	RNA:testis
7603	GTEX-13FH7-0126-SM-5KLZ1.1	/home/drk/tillage/datasets/human/rna/recount3/thyroid/GTEX-13FH7-0126-SM-5KLZ1.1/coverage.w5	768	384	0.01	sum_sqrt	7603	RNA:thyroid
7604	GTEX-15CHQ-0826-SM-69LOT.1	/home/drk/tillage/datasets/human/rna/recount3/thyroid/GTEX-15CHQ-0826-SM-69LOT.1/coverage.w5	768	384	0.01	sum_sqrt	7604	RNA:thyroid
7605	GTEX-1J1OQ-0526-SM-A9G2P.1	/home/drk/tillage/datasets/human/rna/recount3/thyroid/GTEX-1J1OQ-0526-SM-A9G2P.1/coverage.w5	768	384	0.01	sum_sqrt	7605	RNA:thyroid
7606	GTEX-13FTX-1026-SM-5J2O5.1	/home/drk/tillage/datasets/human/rna/recount3/uterus/GTEX-13FTX-1026-SM-5J2O5.1/coverage.w5	768	384	0.01	sum_sqrt	7606	RNA:uterus
7607	GTEX-1MA7W-1526-SM-DHXKS.1	/home/drk/tillage/datasets/human/rna/recount3/uterus/GTEX-1MA7W-1526-SM-DHXKS.1/coverage.w5	768	384	0.01	sum_sqrt	7607	RNA:uterus
7608	GTEX-11EMC-1926-SM-5A5JU.1	/home/drk/tillage/datasets/human/rna/recount3/vagina/GTEX-11EMC-1926-SM-5A5JU.1/coverage.w5	768	384	0.01	sum_sqrt	7608	RNA:vagina
7609	GTEX-12WSB-2426-SM-5EGJC.1	/home/drk/tillage/datasets/human/rna/recount3/vagina/GTEX-12WSB-2426-SM-5EGJC.1/coverage.w5	768	384	0.01	sum_sqrt	7609	RNA:vagina
7610	GTEX-W5WG-1026-SM-4LMIF.1	/home/drk/tillage/datasets/human/rna/recount3/vagina/GTEX-W5WG-1026-SM-4LMIF.1/coverage.w5	768	384	0.01	sum_sqrt	7610	RNA:vagina
